,cpu_load
0,0.474304627
1,0.5414287256807484
2,0.5170059947229902
3,0.5225026738767159
4,0.5041574391419084
5,0.4991352402685448
6,0.4728497882565953
7,0.5123679888560234
8,0.5729697788167865
9,0.5853824471388344
10,0.5940245968221112
11,0.6086126003665541
12,0.5830794177720933
13,0.6872836445386531
14,0.7232888881661506
15,0.6459898669044963
16,0.6397535532535945
17,0.6742913427133428
18,0.7654099252836315
19,0.7888545964643453
20,0.7665105325053616
21,0.7184271771565514
22,0.745959020667779
23,0.6961378447889021
24,0.7437036590197721
25,0.7738866391102333
26,0.7000802523101236
27,0.6726534993692742
28,0.6097084835375103
29,0.7123254225646493
30,0.6717083714505027
31,0.6794044919448756
32,0.5631541227975663
33,0.607362295258366
34,0.60756241557706
35,0.5762893400034265
36,0.6135426412872372
37,0.6883056911782575
38,0.6635266564262455
39,0.6972653205309534
40,0.6600144354921265
41,0.6630798453095034
42,0.6898723122328161
43,0.71564297151179
44,0.6510491806461443
45,0.6252915823855907
46,0.6471582587298352
47,0.6876765426785766
48,0.7014381264815074
49,0.7344120573883132
50,0.6594197023986734
51,0.6593035160122601
52,0.5875967314787399
53,0.5698023357977715
54,0.541927091469008
55,0.5836158167420952
56,0.6075349323666727
57,0.6444614863423734
58,0.6699364864188235
59,0.6901965130956429
60,0.6799044106224442
61,0.6740511947488341
62,0.6777201092244125
63,0.7080254575487723
64,0.7155836917215003
65,0.7189323057421765
66,0.6684870766103742
67,0.7046190330756601
68,0.6493532526375945
69,0.6682346717957308
70,0.6777417872996162
71,0.6532429483987906
72,0.6335614810927881
73,0.6407293086311356
74,0.6068586542633537
75,0.6647531959889563
76,0.6475733310574509
77,0.6466550942183376
78,0.579729848471111
79,0.5702374235652582
80,0.6185717950002603
81,0.5609229072755917
82,0.5923020321407196
83,0.6510397190951055
84,0.6087758153882035
85,0.7359530492694617
86,0.664825516738321
87,0.7160998450442164
88,0.6874337774365757
89,0.7870088986648204
90,0.7519759762283652
91,0.7855650608766184
92,0.8330153566089816
93,0.8395819456748498
94,0.8259148598236113
95,0.8222897075546483
96,0.7903209953673354
97,0.7256069322610414
98,0.6307186732351286
99,0.6138368300389523
100,0.597685604171861
101,0.602140535383197
102,0.5477996166722962
103,0.5108954347884871
104,0.5283491332310924
105,0.6042086172494281
106,0.529062953592803
107,0.6217550035105198
108,0.5692689322518747
109,0.6642370120661568
110,0.6574997559526492
111,0.6729965286606279
112,0.6023803301893627
113,0.6189224087881164
114,0.6286694797061458
115,0.5764309004427003
116,0.5522071222470233
117,0.5390608846183517
118,0.521669561555915
119,0.5390919903089373
120,0.5738504711266348
121,0.6779189407582182
122,0.5358690592028913
123,0.5682773599598506
124,0.5626033667782873
125,0.5525594521573848
126,0.5502932148463204
127,0.5546977050942653
128,0.6063987301503831
129,0.5552925737638317
130,0.601978231433762
131,0.5893476241593182
132,0.5669464066896381
133,0.662138830523853
134,0.6108246746610875
135,0.6249128566004596
136,0.5996072608410806
137,0.6131236313820555
138,0.5992739499724826
139,0.5707039393614534
140,0.602028264048053
141,0.5698067030313602
142,0.5636531125604465
143,0.5557880858843776
144,0.622971843002212
145,0.594973271163002
146,0.5432700278657931
147,0.48322096610962456
148,0.47821085264352853
149,0.4797466182165309
150,0.49451225232765117
151,0.5409653492259019
152,0.5408503026602891
153,0.5219161166298123
154,0.5336556851334646
155,0.5137725279202325
156,0.5332008507390955
157,0.573412035589027
158,0.5391146022189938
159,0.5746800316279556
160,0.5295807040648661
161,0.5341381390286725
162,0.5773096742683146
